"startDate","endDate","afam","racial","aa","black","negro","rd","cr","seg"
"18510101","18510401",0,0,0,0,0,0,0,0
"18510401","18510701",0,0,0,0,0,0,0,0
"18510701","18511001",0,0,1,14,19,0,0,0
"18511001","18520101",1,0,12,130,53,0,60,0
"18520101","18520401",4,0,3,124,29,0,36,0
"18520401","18520701",8,0,10,132,50,0,29,0
"18520701","18521001",1,1,12,241,60,0,40,1
"18521001","18530101",12,1,33,362,108,0,63,2
"18530101","18530401",6,0,20,361,107,0,80,0
"18530401","18530701",4,0,33,293,113,0,22,0
"18530701","18531001",5,0,18,377,95,0,39,0
"18531001","18540101",5,0,19,294,89,0,48,0
"18540101","18540401",9,0,41,364,101,0,87,0
"18540401","18540701",11,1,50,363,113,0,68,1
"18540701","18541001",9,0,28,311,86,0,53,0
"18541001","18550101",9,0,23,247,61,0,42,0
"18550101","18550401",16,1,22,279,51,0,60,0
"18550401","18550701",16,0,15,270,55,0,54,1
"18550701","18551001",5,0,16,258,94,0,54,1
"18551001","18560101",11,0,13,249,71,0,55,1
"18560101","18560401",13,0,9,265,64,0,60,0
"18560401","18560701",6,0,13,235,63,0,74,0
"18560701","18561001",13,0,22,296,77,0,84,0
"18561001","18570101",1,1,25,244,95,0,52,0
"18570101","18570401",11,0,12,228,80,0,39,0
"18570401","18570701",12,0,22,259,100,0,45,1
"18570701","18571001",19,0,29,284,86,0,55,0
"18571001","18580101",6,0,17,201,73,0,44,0
"18580101","18580401",14,0,21,267,79,0,58,0
"18580401","18580701",12,0,47,260,73,0,35,0
"18580701","18581001",5,0,48,271,76,0,35,0
"18581001","18590101",3,0,25,236,78,0,41,0
"18590101","18590401",7,0,47,228,82,0,36,0
"18590401","18590701",7,0,27,202,85,0,46,0
"18590701","18591001",6,0,30,202,77,0,57,0
"18591001","18600101",4,1,30,193,112,0,46,0
"18600101","18600401",29,0,78,339,165,0,88,0
"18600401","18600701",24,0,57,358,116,0,69,0
"18600701","18601001",19,0,47,408,162,0,53,0
